"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Mitchell Robinson","NYK","C","9.8","7.3","0.6","2.1","0.9",".717",".576","0.0","68","24.4","0.7"
"Devin Vassell","SAS","SG","9.7","3.2","1.6","0.5","0.7",".468",".750","1.4","67","21.1","1.0"
"Svi Mykhailiuk","DET","SG,SF","9.7","2.1","2.0","0.1","0.7",".417",".741","2.2","62","24.0","1.2"
"Kentavious Caldwell-Pope","LAL","PG,SG,SF","9.7","2.5","1.5","0.2","0.9",".450",".803","1.6","69","25.6","0.8"
"Mikal Bridges","PHO","SG,SF","9.7","3.9","1.9","0.6","1.5",".477",".857","1.3","69","30.8","1.1"
"Isaac Okoro","CLE","SF","9.7","4.3","1.8","0.5","0.8",".455",".726","1.1","68","26.6","1.1"
"Bobby Portis","MIL","PF,C","9.7","5.6","1.2","0.3","0.5",".460",".771","1.0","65","19.4","1.0"
"Shabazz Napier","WAS","PG,SG","9.7","2.4","3.6","0.2","1.1",".404",".821","1.3","65","21.4","1.7"
"De'Andre Hunter","ATL","SF","9.7","4.0","1.4","0.3","0.6",".436",".791","1.4","69","25.6","1.3"
"Kevin Huerter","ATL","SG,SF","9.7","3.3","2.8","0.4","0.7",".424",".800","1.8","66","25.3","1.3"
"Delon Wright","DET","PG,SG,SF","9.6","4.3","3.7","0.4","1.4",".456",".779","0.8","66","26.5","1.2"
"DeMarre Carroll","HOU","SF,PF","9.6","4.7","1.3","0.2","0.5",".401",".744","1.4","54","22.6","1.1"
"Larry Nance Jr.","CLE","PF,C","9.5","6.9","2.4","0.5","1.1",".527",".691","0.8","64","26.1","1.2"
"Mason Plumlee","DET","PF,C","9.5","7.3","3.1","1.0","0.8",".595",".548","0.0","66","23.9","1.6"
"Patty Mills","SAS","PG","9.5","1.5","1.8","0.1","0.6",".425",".870","1.8","66","19.9","0.8"
"Justise Winslow","MEM","PF,SF","9.4","4.6","2.9","0.3","0.8",".438",".654","0.9","58","23.3","1.4"
"Rodney Hood","POR","SG,SF","9.4","2.6","1.4","0.2","0.7",".468",".855","1.2","49","23.9","0.8"
"E'Twaun Moore","PHO","PG,SG,SF","9.4","2.3","1.6","0.2","0.6",".463",".703","1.2","63","21.8","0.9"
