"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Dante Exum","CLE","PG,SG","266","101","75","13","22",".458",".745","24","44","766","53"
"Dzanan Musa","DET","SF,PF","262","125","57","0","23",".358",".750","26","57","713","51"
"Bruno Caboclo","HOU","SF,PF","260","162","43","38","22",".420",".840","34","54","761","32"
"Dragan Bender","GSW","PF,C,SF","260","194","68","29","17",".413",".628","41","57","929","51"
"Patrick McCaw","TOR","SG,SF ","256","120","107","6","56",".417",".760","32","63","1,279","43"
"Gary Payton II","WAS","SG,PG","255","162","103","16","65",".422",".458","27","54","896","38"
"Matthew Dellavedova","CLE","PG,SG","253","90","216","0","24",".372",".854","35","60","990","72"
"Ed Davis","MIN","PF,C","253","386","36","29","26",".592",".609","0","66","916","39"
"Gorgui Dieng","MEM","PF,C","248","221","41","30","26",".477",".767","21","47","608","36"
"Tacko Fall","BOS","C","248","160","12","33","10",".714",".465","0","53","442","39"
"Raul Neto","WAS","PG","248","70","103","5","22",".452",".810","31","54","653","49"
"Bruno Fernando","ATL","C","246","204","51","16","19",".542",".586","6","62","728","41"
"Rodions Kurucs","BKN","SF,PF","245","120","33","11","20",".463",".727","30","42","631","38"
"Daniel Gafford","CHI","C,PF","245","133","28","67","17",".577",".536","0","59","818","35"
"Semi Ojeleye","BOS","SF,PF","241","149","37","6","19",".406",".732","43","62","1,066","19"
"Khem Birch","ORL","PF,C","241","228","48","26","22",".558",".673","0","65","936","29"
"Bruce Brown Jr.","BKN","SG","240","252","98","20","30",".434",".741","25","49","730","39"
"Tony Bradley","PHI","C","239","227","21","32","14",".625",".658","0","69","574","26"
"Treveon Graham","MIL","SG,SF","234","133","46","5","20",".362",".706","36","51","903","26"
"Damian Jones","PHO","C","229","147","33","28","20",".694",".719","1","57","711","21"
"Edmond Sumner","IND","PG,SG","226","73","67","17","34",".404",".652","21","56","678","34"
"Wenyen Gabriel","NOR","PF,SF","222","163","32","19","37",".450",".739","23","63","750","57"
"P.J. Dozier","DEN","PG,SG","221","88","70","13","18",".397",".614","19","44","594","26"
"Robert Williams III","BOS","PF,C","221","200","39","60","34",".713",".630","0","47","672","34"
"TJ Leaf","OKC","PF,C","219","142","19","13","11",".490",".580","12","63","524","15"
"Henry Ellenson","TOR","PF","216","135","34","0","11",".371",".795","30","56","510","22"
"Goga Bitadze","IND","C ","216","132","29","45","10",".466",".733","11","66","599","33"
"Brandon Goodwin","ATL","PG","214","70","56","4","11",".397",".932","27","37","448","30"
"Carsen Edwards","BOS","PG","199","78","39","5","20",".330",".857","40","49","588","29"
"Luke Kornet","CHI","PF,C","198","75","32","24","14",".403",".771","37","34","499","13"
"Thabo Sefolosha","HOU","SG,SF","197","146","34","11","45",".454",".688","30","56","700","28"
"Chris Chiozza","BKN","PG","193","91","115","5","38",".405","1.000","40","48","610","43"
"Caleb Swanigan","POR","PF,C","193","263","73","12","12",".482",".571","2","61","775","92"
"Jalen McDaniels","CHA","PF","191","150","27","7","20",".466",".792","16","34","646","20"
"Caleb Martin","CHA","G","190","83","43","14","14",".434",".659","27","36","659","36"
"Gary Clark","ORL","SF,PF","178","137","23","29","11",".363",".938","47","57","707","6"
"Drew Eubanks","SAS","PF,C","178","130","26","25","7",".629",".786","0","69","451","32"
"D.J. Wilson","MIL","PF","171","125","34","13","9",".409",".592","26","43","525","22"
"Isaiah Hartenstein","DEN","PF","166","130","38","19","13",".598",".734","0","69","503","26"
"Udoka Azubuike","UTH","C","161","101","16","19","7",".602",".680","7","69","646","20"
"Derrick Walton Jr.","PHI","PG","154","54","81","5","22",".420",".865","31","54","734","16"
"Romeo Langford","BOS","SG ","144","61","13","13","18",".407",".695","10","44","590","18"
"Jared Dudley","LAL","SF,PF","135","83","46","9","18",".407",".690","28","46","630","18"
"Kyle O'Quinn","PHI","PF,C","133","126","48","24","7",".551",".704","3","41","359","29"
"Cristiano Felicio","CHI","C","133","131","24","2","12",".599",".711","0","41","487","21"
"Tremont Waters","BOS","PG","128","34","47","6","19",".354","1.016","12","31","344","37"
"Javonte Green","BOS","PG,SG","125","78","22","7","22",".506",".631","6","37","396","19"
"Vincent Poirier","PHI","C","117","117","23","23","5",".490",".831","1","37","355","23"
"Chris Silva","MIA","SG,PF","95","92","19","19","6",".588",".698","0","40","259","25"
"Tyler Zeller","SAS","PF,C","89","45","7","7","2",".477",".720","0","25","143","7"
"Reggie Perry","BKN","PF,C","89","46","13","7","6",".509",".689","7","25","72","12"
"Nick Richards","CHA","C","84","39","6","7","2",".445",".700","3","69","431","7"
"Anzejs Pasecniks","WAS","C","78","48","7","6","6",".551",".582","0","25","214","13"
"Johnathan Motley","PHO","SF,PF","59","27","8","0","6",".794",".626","0","25","85","11"
"Nathan Knight","ATL","PF,C","50","46","7","8","4",".654",".670","0","25","72","8"
"Jon Teske","ORL","C","50","42","7","7","6",".642",".672","0","25","72","7"
"Daniel Oturu","LAC","C","49","45","7","7","2",".714",".670","0","25","72","7"
"Moses Brown","OKC","C","36","37","7","7","2",".509",".516","0","25","72","7"
"Udonis Haslem","MIA","PF","36","53","7","0","0",".284",".755","0","25","143","7"
"Tyson Chandler","HOU","C","33","67","6","6","6",".803",".567","0","25","214","10"
"Justin Patton","MIL","C","29","30","7","5","6",".406",".648","0","25","72","7"
"Will Magnay","NOR","F","4","3","1","1","0",".600",".714","0","25","72","1"
"Facundo Campazzo","DEN","PG","0","0","0","0","0",".000",".000","0","0","0","0"
"Chuma Okeke","ORL","PF","0","0","0","0","0",".000",".000","0","0","0","0"
""
""
